Eccentricity,Cones/mm2 (x1000),,,Eccentricity,Rods/mm2 (x1000)
0.12219,201.819,,,9.147886,64.36445
7.9600897,150.17027,,,17.805035,109.88923
17.49904,111.00869,,,26.424519,129.6439
26.76169,88.49225,,,35.26334,135.57826
35.5145,69.91545,,,44.18192,136.48705
54.50688,50.293564,,,52.72386,132.98442
72.42695,41.721466,,,62.198536,126.99707
90.7516,35.550728,,,70.36384,119.08304
108.60589,30.941757,,,79.412025,111.82526
126.01612,26.3093,,,88.8867,105.837906
144.24867,25.686943,,,98.371346,99.22235
162.93843,24.295444,,,107.429504,91.33638
,,,,116.45775,85.335
,,,,125.505936,78.07722
,,,,134.09773,71.43361
,,,,143.59235,64.189865
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,git ,,
